~~~~SSSSS~ - ~~~~~~~~~~ | ~~~S~P~~CC - ~~~~~~~~~~
~~~~~SSSSS - ~~~~~~~~~~ | ~~SS~P~~~~ - ~~~~~~~~~~
FFFFFFF~~~ - ~~~~~~~~~~ | C~SSFPF~~~ - ~~~~~~~~~~
~~PPPPPPPP - ~~~~~~~~~~ | C~SSFPF~~~ - ~~~~~~~~~~
~CC~~~CC~~ - ~~~~~~~~~~ | ~~SSFPF~S~ - ~~~~~~~~~~
~FFFFFFF~~ - ~~~~~~~~~~ | ~~S~FPF~S~ - ~~~~~~~~~~
~~CC~~~~~~ - ~~~~~~~~~~ | ~~~~FPF~S~ - ~~~~~~~~~~
SSSSS~~~~~ - ~~~~~~~~~~ | ~CC~FPF~S~ - ~~~~~~~~~~
~~~CC~~~~~ - ~~~~~~~~~~ | ~~~~F~F~S~ - ~~~~~~~~~~
~~~~~~~~~~ - ~~~~~~~~~~ | ~CC~~~~~~~ - ~~~~~~~~~~

~~~~SSSSS~ - ~~~~~~~~~~ | ~~~S~P~~CC - ~~~~~~~~~~
~~~~~SSSSS - ~~~~~~~~~~ | ~~SS~P~~~~ - ~~~~~~~~~~
FFFFFFF~~~ - ~~~~~~~~~~ | C~SSFPF~~~ - ~~~~~~~~~~
~~PPPPPPPP - ~~~~~~~~~~ | C~SSFPF~~~ - ~~~~~~~~~~
~CC~~~CC~~ - ~~~~~~~~~~ | ~~SSFPF~S~ - ~~~~~~~~~~
~FFFFFFF~~ - ~~~~~~~~~~ | ~~S~FPF~S~ - ~~~~~~~~~~
~~CC~~~~~~ - ~~~~~~~~~~ | ~~~~FPF~S~ - ~~~~~~~~~~
SSSSS~~~~~ - ~~~~~~~~~~ | ~CC~FPF~S~ - ~~~~~~~~~~
~~~CC~~~~~ - ~~~~~.~~~~ | ~~~~F~F~S~ - ~~~~~~~~~.
~~~~~~~~~~ - ~~~~~~~~~~ | ~CC~~~~~~~ - ~~~~~~~~~~

~~~~SSSSS~ - ~~~~~~~~~~ | ~~~S~P~~CC - ~~~~~~~~~~
~~~~~SSSSS - ~~~~~~~~~~ | ~~SS~P~~~~ - ~~~~~~~~~~
FFFFFFF~~~ - ~~~~~~~~~~ | C~SSFPF~~~ - ~~~~~~~~~~
~~PPPPPPPP - ~~~~~~~~~~ | C~SSFPF~~~ - ~~~~~~~~~~
~CC~~~CC~~ - ~~~~~~~~~~ | ~~SSFPF~S~ - ~~~~~~~~~~
~FFFFFFF~~ - ~~~~~~~~~~ | ~~S~FPF~S~ - ~~~~~~~~~~
~~CC~~~~~~ - ~~~~~~~~~~ | ~~~~FPF~S~ - ~~~~~~~~~~
SSSSS~~~~~ - ~~~~~~*~~~ | ~CC~FP*~S~ - ~~~~~~~~~~
~~~CC~~~~~ - ~~~~~.~~~~ | ~~~~F~F~S~ - ~~~~~.~~~.
~~~~~~~~~~ - ~~~~~~~~~~ | ~CC~~~~~~~ - ~~~~~~~~~~

~~~~SSSSS~ - ~~~~~~~~~~ | ~~~S~P~~CC - ~~~~~~~~~~
~~~~~SSSSS - ~~~~~~~~~~ | ~~SS~P~~~~ - ~~~~~~~~~~
FFFFFFF~~~ - ~~~~~~~~~~ | C~SSFPF~~~ - ~~~~~~~~~~
~~PPPPPPPP - ~~~~~~~~~~ | C~SSFPF~~~ - ~~~~~~~~~~
~CC~~~*C~~ - ~~~~~~~~~~ | ~~SSFPF~S~ - ~~~~~~*~~~
~FFFFFFF~~ - ~~~~~~~~~~ | ~~S~FPF~S~ - ~~~~~~~~~~
~~CC~~~~~~ - ~~~~~~~~~~ | ~~~~FPF~S~ - ~~~~~~~~~~
SSSSS~~~~~ - ~~~~~~*~~~ | ~CC~FP*~S~ - ~~~~~~~~~~
~~~CC~~~~~ - ~~~~~.~~~~ | ~~~~F~F~S~ - ~~~~~.~~~.
~~~~~~~~~~ - ~~~~~~.~~~ | ~CC~~~~~~~ - ~~~~~~~~~~

~~~~SSSSS~ - ~~~~~~~~~* | ~~~S~P~~C* - ~~~~~~~~~~
~~~~~SSSSS - ~~~~~~~~~~ | ~~SS~P~~~~ - ~~~~~~~~~~
FFFFFFF~~~ - ~~~~~~~~~~ | C~SSFPF~~~ - ~~~~~~~~~~
